airport,latitude,longitude
"Birmingham, AL",33.5206824,-86.8024326
"Philadelphia, PA",39.9527237,-75.1635262
"Knoxville, TN",35.9603948,-83.9210261
"Omaha, NE",41.2587459,-95.9383758
"Buffalo, NY",42.8864163,-78.8781493
"Houston, TX",29.7589382,-95.3676974
"Columbus, OH",39.9622601,-83.0007065
"Raleigh/Durham, NC",35.8803614,-78.7872382
"Albuquerque, NM",35.0841034,-106.650985
"Las Vegas, NV",36.1674263,-115.1484131
"Sioux Falls, SD",43.5476008,-96.7293629
"Oklahoma City, OK",35.4729886,-97.5170536
"San Antonio, TX",29.4246002,-98.4951405
"Albany, NY",42.6511674,-73.754968
"San Francisco, CA (Metropolitan Area)",-11.7630118,-76.9857624
"Chicago, IL",41.8755616,-87.6244212
"Wichita, KS",37.6922361,-97.3375448
"Charlotte, NC",35.2272086,-80.8430827
"Jacksonville, FL",30.3262247,-81.6579179
"Cincinnati, OH",39.1014537,-84.5124602
"Denver, CO",39.7392364,-104.984862
"Los Angeles, CA (Metropolitan Area)",-11.9602676,-77.0330491
"Orlando, FL",28.5421218,-81.379045
"Boston, MA (Metropolitan Area)",-12.0663157,-77.0374785
"Washington, DC (Metropolitan Area)",38.8850666,-77.0216533
"Seattle, WA",47.6038321,-122.330062
"San Diego, CA",32.7174202,-117.162772
"Sacramento, CA",38.5810606,-121.493895
"Phoenix, AZ",33.4484367,-112.074141
"West Palm Beach/Palm Beach, FL",26.715364,-80.0532942
"Dallas/Fort Worth, TX",32.836883,-97.0329567
"Portland, OR",45.5202471,-122.674194
"Salt Lake City, UT",40.7596198,-111.886797
"Detroit, MI",42.3315509,-83.0466403
"Minneapolis/St. Paul, MN",44.9227049,-93.0554922
"Kansas City, MO",39.100105,-94.5781416
"Fort Myers, FL",26.640628,-81.8723084
"St. Louis, MO",38.6254063,-90.190009
"New Orleans, LA",29.9561422,-90.0733934
"Pittsburgh, PA",40.4406968,-80.0025666
"Austin, TX",30.2711286,-97.7436995
"Nashville, TN",36.1622767,-86.7742984
"Milwaukee, WI",43.0386475,-87.9090751
"Reno, NV",39.5261788,-119.812658
"Indianapolis, IN",39.7683331,-86.1583502
"Spokane, WA",47.6571934,-117.42351
"Hartford, CT",41.764582,-72.6908547
"Myrtle Beach, SC",33.6956461,-78.8900409
"Boise, ID",43.6166163,-116.200886
"Richmond, VA",37.5385087,-77.43428
"Tucson, AZ",32.2228765,-110.974847
"El Paso, TX",31.7601001,-106.4870476
"Rochester, NY",43.157285,-77.615214
"Lubbock, TX",33.5855677,-101.8470215
"Norfolk, VA (Metropolitan Area)",43.6045945,-79.5524643
"Portland, ME",43.6573605,-70.2586618
"Tulsa, OK",36.1563122,-95.9927516
"Little Rock, AR",34.7465071,-92.2896267
"Dayton, OH",39.7589478,-84.1916069
"Louisville, KY",38.2542376,-85.759407
"Charleston, SC",32.7884363,-79.9399309
"Amarillo, TX",35.20729,-101.8371192
"Midland/Odessa, TX",31.9379584,-102.2772601
"Atlantic City, NJ",39.3642852,-74.4229351
"Bellingham, WA",48.7544012,-122.478836
"Savannah, GA",32.0790074,-81.0921335
"Sarasota/Bradenton, FL",27.3959884,-82.5540742
"Syracuse, NY",43.0481221,-76.1474244
